"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss7_10","-28.12","5.71","4.6","3.96","4.19","3.23","2.05","1.28","0.94","0.23","0.16","-0.04","-0.9","-1.07","-1.44","-1.43","-1.63","-1.65","-1.65","-2.01","-2.08","-2.28","-2.48","-2.62","-2.92","-3.0"
"length_rss7_11","-40.61","-7.99","-6.83","-6.19","-5.75","-5.28","-4.68","-4.26","-3.44","-2.2","-1.45","-0.69","0.08","0.12","0.52","2.63","3.42","2.7","2.13","2.28","4.72","5.05","4.9","6.56","6.64","5.62"
"length_rss7_12","-45.58","3.83","5.53","2.54","0.67","1.56","2.11","2.53","3.62","1.76","0.6","-1.27","-2.66","-1.14","0.58","-3.22","-4.06","-0.63","1.23","0.68","-0.4","-1.68","-3.05","-4.69","-3.6","-2.24"
"length_rss7_13","-37.97","3.33","1.55","0.64","1.22","1.91","1.44","1.55","2.18","0.22","-0.21","0.38","0.51","1.3","0.79","-0.98","-0.55","-0.42","-2.64","-4.13","-3.86","-1.97","-0.5","-1.87","-2.08","-1.24"
"length_rss7_14","-34.64","-5.47","-5.09","-4.66","-4.26","-3.2","-3.2","-2.95","-1.8","-0.83","-0.44","-0.01","0.81","1.06","0.99","-0.09","0.35","1.17","1.5","2.8","3.07","3.81","4.39","3.71","3.57","4.22"
"length_rss7_15","-56.29","0.8","-1.21","-1.46","0.45","0.71","-3.08","-6.54","-6.42","-4.79","-2.4","1.06","1.5","0.85","-0.26","0.96","2.54","2.95","3.9","3.53","2.28","0.73","-0.49","0.24","-0.02","1.34"
"length_rss7_16","-60.82","-4.45","-8.66","-10.14","-7.18","-3.04","-3.21","-2.86","-3.01","-2.28","1.68","4.54","4.58","2.42","0.62","0.31","0.27","-0.53","0.46","5.6","6.86","4.2","3.23","2.59","3.22","4.31"
"length_rss7_17","-59.73","-1.3","-0.5","-0.97","-1.37","-0.87","-0.57","-0.38","1.1","4.54","5.83","5.83","4.68","3.66","1.05","-1.37","-1.94","-1.02","-0.74","-1.21","-1.76","-2.88","-2.77","-2.73","-3.44","-3.31"
"length_rss7_18","-55.79","4.58","5.02","4.74","3.71","3.59","2.68","0.77","0.31","-0.13","-0.1","-0.57","-1.39","-1.81","-2.08","-2.81","-3.42","-3.52","-3.58","-3.49","-3.43","-2.79","-2.1","-1.06","0.71","1.78"
"length_rss7_19","-51.07","-2.72","-3.45","-2.82","-2.47","-2.05","-2.22","-2.3","-2.03","-0.71","-0.76","-1.59","-1.63","-1.59","-1.01","2.01","2.67","2.08","1.19","2.0","2.64","2.85","1.12","1.62","2.91","2.4"
"length_rss7_20","-65.96","-7.55","-5.4","-5.96","-6.63","-6.45","-4.51","-2.39","-0.94","-0.4","-1.45","-2.6","-2.5","-1.48","1.08","1.81","1.73","3.7","5.05","5.17","3.26","3.54","5.49","5.68","4.5","5.77"
"length_rss9_1","-67.13","-1.88","-2.18","-1.47","-1.03","-1.33","-0.58","0.22","1.25","2.27","2.94","2.58","1.13","-0.42","-1.65","-1.74","-1.23","-0.85","-0.53","-1.07","-0.72","-0.4","0.05","0.55","1.49","2.81"
"length_rss9_2","-70.39","2.01","3.14","1.98","0.46","0.82","1.57","0.08","-1.27","-0.78","-1.02","-1.79","-1.87","0.35","0.8","1.08","-0.66","-1.39","-0.11","0.38","0.19","-0.16","0.11","-1.68","-2.76","-2.45"
"length_rss9_3","-77.29","-3.94","-1.26","-0.51","-1.41","-1.65","-0.65","-0.01","-0.22","-0.3","-1.03","-0.69","1.35","1.94","2.06","1.08","0.97","0.32","0.3","0.91","0.92","0.51","-0.33","-0.81","-0.2","0.87"
"length_rss9_4","-74.9","0.79","1.48","1.51","1.37","1.66","1.8","1.92","1.18","0.33","0.09","0.5","0.28","0.48","1.43","1.58","1.72","1.28","1.39","0.02","-2.66","-3.57","-3.59","-3.34","-2.54","-4.56"
"length_rss9_5","-69.21","-0.46","-2.0","-3.07","-2.76","-1.42","-0.64","-0.71","-1.15","-0.82","-0.48","0.15","2.05","3.04","1.75","0.51","0.12","0.47","2.49","2.7","0.43","-1.12","-1.03","0.07","1.05","1.69"
"length_rss9_6","-78.82","-1.43","-0.85","-0.5","-0.16","0.28","1.12","1.27","0.67","0.35","-1.0","-1.09","-0.15","1.86","1.91","0.55","-0.27","-0.42","0.01","0.31","0.28","-0.03","-0.19","-0.28","-0.72","-1.99"
"length_rss9_7","-53.85","13.19","12.49","12.45","11.92","11.54","9.8","6.62","4.27","2.2","1.66","0.21","-1.54","-3.08","-3.09","-4.5","-5.37","-4.94","-4.23","-4.17","-4.83","-7.6","-8.89","-9.09","-10.54","-15.13"
"length_rss9_8","-41.79","-15.02","-14.22","-12.24","-13.74","-15.11","-12.9","-9.15","-3.64","1.39","1.18","3.52","4.85","5.86","6.26","5.54","6.37","7.36","6.57","5.31","6.71","7.41","5.38","6.07","7.27","5.7"
"length_rss9_9","-51.75","-2.42","-5.68","-6.75","-4.79","-0.27","1.65","-1.28","-3.32","-2.5","-2.88","-4.39","-4.4","-3.53","-2.28","-1.89","-1.74","-1.38","-1.63","-1.4","1.03","4.61","7.2","9.91","12.11","12.91"
"length_rss9_10","-33.48","-2.81","-0.78","-3.13","-3.65","-1.03","-1.54","-1.83","-1.74","-1.97","-3.16","-2.83","-1.25","-0.94","-1.76","-1.07","0.51","0.86","0.65","1.48","1.01","1.92","3.4","4.32","5.77","5.48"
"length_rss9_11","-43.69","-2.71","-4.69","-4.79","-2.22","-1.27","-0.89","-2.23","-3.27","-3.45","-2.73","-2.09","-0.6","0.53","0.12","1.17","3.37","3.53","2.74","3.07","2.67","1.83","2.18","2.66","3.0","3.23"
"length_rss9_12","-43.76","2.55","2.4","2.26","0.71","-0.55","-0.04","-0.1","0.42","3.08","3.13","2.61","0.4","0.58","1.05","-0.63","-2.58","-1.76","-0.1","-2.46","-3.15","-1.18","-1.33","-3.22","-2.69","-2.03"
"length_rss9_13","-34.84","3.66","1.48","0.85","2.74","4.41","6.5","7.67","7.59","6.13","5.08","3.9","2.07","-0.18","-2.18","-3.19","-2.51","-1.34","-2.91","-6.65","-7.07","-6.62","-6.76","-5.83","-4.49","-2.61"
"length_rss9_14","-39.87","0.47","-3.21","-4.27","-4.79","-4.15","-1.38","-0.52","-0.5","-1.6","-1.97","0.77","2.63","-0.38","-0.36","0.64","1.88","1.87","1.28","-0.31","-0.41","2.14","3.12","1.05","1.69","1.98"
"length_rss9_15","-60.13","-1.59","-2.28","-2.13","-1.46","-2.4","-5.82","-5.75","-3.34","-2.53","-4.05","-3.8","-2.85","0.35","2.91","4.97","3.16","2.45","4.13","4.88","3.76","1.74","1.79","1.71","0.98","0.36"
"length_rss9_16","-62.93","2.99","3.27","-0.67","-1.3","0.88","1.76","0.38","0.96","1.89","1.18","-1.05","-1.43","2.01","4.83","2.38","-0.06","-0.29","-1.38","-2.25","-1.56","-1.1","-2.51","-3.6","-3.44","-1.29"
"length_rss9_17","-62.13","3.7","3.88","2.93","1.11","-1.46","-3.11","-2.34","-1.7","-2.64","-4.42","-5.39","-4.03","-1.61","0.64","2.09","3.47","3.23","2.76","2.61","0.76","0.69","0.7","1.49","0.29","-4.12"
"length_rss9_18","-60.04","-1.28","-3.11","-3.1","-2.53","-2.13","-1.43","-0.26","0.3","0.98","0.97","0.73","0.95","0.82","1.28","0.89","0.5","0.65","1.13","0.83","0.68","0.71","0.11","0.22","0.52","0.85"
"length_rss9_19","-54.29","-0.81","-0.66","-1.85","-1.43","-0.0","0.61","0.82","0.72","-1.39","-2.53","-2.18","-1.05","0.48","1.88","1.52","1.12","-0.3","-0.5","0.25","0.71","0.42","0.31","-0.4","-1.07","0.47"
"length_rss9_20","-66.65","-9.62","-6.72","-7.48","-6.03","-3.89","-3.09","-2.13","-1.35","-1.88","-1.7","-4.44","-3.9","-0.83","2.77","3.9","3.53","2.38","2.81","3.0","4.92","5.54","4.92","4.69","5.61","7.35"
"length_rss10_1","-39.82","-3.99","-3.4","-2.63","-1.74","-1.59","-1.21","-1.26","-1.42","-1.63","-2.04","-2.68","-2.79","-2.7","-2.29","-1.03","-0.37","0.14","0.83","2.19","3.24","4.36","5.28","4.89","4.58","4.21"
"length_rss10_2","-45.68","-2.51","-2.02","-0.96","-0.03","-0.39","-0.76","0.04","0.62","0.33","0.38","0.31","0.24","-0.34","0.2","0.6","0.08","-0.35","0.14","1.07","1.63","-0.18","-1.77","-1.06","0.69","0.8"
"length_rss10_3","-50.91","-7.17","-8.56","-9.67","-8.43","-5.41","-2.47","0.36","1.41","1.11","1.37","1.21","-0.22","0.36","0.6","3.2","5.62","3.76","2.5","3.48","3.11","4.15","4.35","1.24","-0.08","2.49"
"length_rss10_4","-48.75","0.49","-0.18","-1.6","-2.46","-2.55","-1.05","1.47","2.51","1.3","1.13","0.77","-0.02","1.12","0.88","1.22","1.29","1.21","1.64","1.86","-0.01","-1.49","-2.91","-2.29","-1.68","-2.81"
"length_rss10_5","-46.52","2.76","-0.58","-2.16","-1.28","0.33","0.82","1.35","2.2","2.04","0.24","-0.95","-0.42","0.26","1.52","1.77","0.7","0.35","0.23","-0.01","-0.54","-0.69","-0.93","-1.14","-2.88","-5.19"
"length_rss10_6","-47.44","-6.28","-8.25","-6.63","-2.48","-0.44","0.11","1.96","2.4","1.05","1.83","2.82","3.85","3.75","3.68","4.86","4.55","1.44","-0.33","-0.71","-2.92","-2.47","0.42","0.37","-0.65","-1.24"
"length_rss10_7","-40.68","-5.49","-6.23","-6.81","-6.62","-4.45","-3.42","-4.31","-5.67","-7.1","-6.95","-3.84","-1.87","0.32","1.94","2.91","3.19","2.2","2.32","3.41","4.98","6.26","7.03","8.04","9.29","10.5"
"length_rss10_8","-45.48","4.84","6.29","6.2","7.31","7.49","5.23","3.85","4.85","3.65","3.41","3.48","0.53","-1.29","-1.01","-1.69","-5.07","-6.61","-5.58","-3.06","-5.71","-8.47","-7.63","-3.98","-4.32","-4.93"
"length_rss10_9","-38.42","5.96","1.7","2.03","1.08","-3.03","-3.88","-4.4","-2.57","2.68","6.11","9.03","6.55","3.44","2.22","3.85","4.31","1.94","-1.3","-3.45","-5.89","-7.3","-5.71","-4.21","-4.1","-6.26"
"length_rss10_10","-63.23","-3.5","-2.88","-4.09","-5.25","-3.54","-2.06","-2.2","-1.44","0.3","0.73","1.76","2.25","1.8","-0.88","-3.4","-0.5","-0.1","2.07","5.63","5.58","3.76","2.58","1.38","-0.42","-2.07"
"length_rss10_11","-70.08","-2.73","-1.54","-1.33","-2.4","-2.35","-2.46","-3.31","-1.57","-0.25","-0.15","0.77","0.77","0.64","-0.29","0.22","0.89","1.54","2.49","1.87","1.06","0.64","-0.36","0.33","2.26","3.35"
"length_rss10_12","-70.01","2.24","2.11","1.95","2.74","1.39","0.82","1.7","3.35","1.61","1.05","1.74","0.85","-1.4","-1.45","0.2","0.44","-0.31","-1.9","-3.5","-3.32","-3.35","-2.77","-2.64","-0.88","0.4"
"length_rss10_13","-65.73","3.43","2.91","2.11","1.15","0.72","0.98","1.05","0.5","0.51","0.82","0.9","0.26","-0.45","-1.92","-1.19","-0.6","-1.26","-0.66","-0.33","-1.28","-1.45","-1.94","-2.23","-2.27","-1.61"
"length_rss10_14","-67.65","1.94","0.09","-0.96","-1.54","-2.27","-0.66","1.49","1.07","2.5","4.96","4.4","2.57","0.28","-0.88","-1.93","-1.88","-1.92","-0.97","0.34","0.07","-0.92","-2.52","-2.99","-0.87","0.66"
"length_rss10_15","-55.17","-2.66","-2.08","-2.32","-1.19","-0.88","-0.09","-1.72","-1.92","-2.32","-2.6","-1.85","-0.11","0.09","1.12","2.72","2.24","2.04","1.49","1.61","2.41","2.68","1.6","0.59","-0.08","-0.57"
"length_rss10_16","-62.84","-5.27","-5.37","-5.47","-5.38","-3.54","-1.09","-1.27","-1.02","-0.69","0.23","2.96","2.66","1.84","1.35","1.97","2.02","1.89","0.6","1.87","2.62","1.32","1.32","1.6","1.17","0.97"
"length_rss10_17","-60.85","3.7","4.75","5.23","6.96","7.12","4.92","3.72","3.09","4.18","5.22","3.69","3.42","3.47","1.56","-0.83","-2.77","-4.18","-5.94","-6.52","-7.68","-8.1","-6.29","-7.25","-6.82","-7.18"
"length_rss10_18","-70.82","-2.12","-2.85","-2.97","-2.06","-1.82","-0.94","-0.58","-1.07","-0.57","-0.64","-0.4","-0.59","-0.15","-0.45","-0.19","-0.03","0.41","1.52","2.07","2.3","2.37","1.58","1.46","2.1","1.61"
"length_rss10_19","-75.22","-6.07","-4.69","-3.08","-3.11","-3.1","-2.35","-1.69","-0.55","0.05","0.05","-2.35","-2.15","-1.25","-0.71","-1.0","0.55","2.5","4.15","4.84","4.01","2.65","2.39","3.18","3.17","3.89"
"length_rss10_20","-56.41","0.39","1.84","3.61","2.52","0.52","1.42","0.56","0.91","-1.49","-6.61","-7.89","-6.48","-3.9","-3.47","-1.32","1.96","2.38","2.15","1.75","2.59","2.91","1.82","-0.27","0.38","3.47"
"length_rss11_1","-62.07","2.36","1.83","0.81","-0.11","0.34","2.1","0.08","-2.63","-2.68","-1.55","-0.75","-0.66","0.65","0.81","-0.64","-0.81","0.48","1.45","0.67","0.03","0.75","0.64","-0.78","-2.85","-2.35"
"length_rss11_2","-65.75","-7.21","-4.55","-2.17","-3.69","-5.05","-3.58","-1.16","0.58","2.21","2.84","1.71","1.15","-0.0","-0.16","-0.11","0.52","0.8","1.04","0.87","1.16","2.27","3.2","3.65","2.99","2.68"
"length_rss11_3","-70.25","-2.32","-1.4","-0.31","-1.87","-2.88","-2.23","-0.48","0.47","1.0","0.72","0.37","1.17","2.07","1.17","0.37","0.66","-0.16","-0.65","0.77","0.92","0.31","0.53","-0.37","-0.55","0.67"
"length_rss11_4","-67.31","-0.99","1.11","1.91","2.12","2.65","1.08","0.28","0.53","-1.08","-1.14","-1.34","0.02","0.52","-1.61","-1.76","-1.04","1.28","1.09","0.92","-0.07","-1.13","-2.26","-1.27","-0.88","-0.99"
"length_rss11_5","-63.89","2.35","3.06","4.05","4.3","4.07","2.28","0.28","-0.12","0.04","-0.95","-4.0","-5.3","-4.33","-3.53","-2.7","-0.59","1.36","3.19","3.22","2.29","0.04","-2.91","-4.12","-1.41","-0.53"
"length_rss11_6","-67.39","-0.79","-0.21","-1.87","-1.57","-0.62","-0.74","0.11","0.81","1.14","0.67","2.29","2.65","1.26","0.53","-0.06","0.6","2.05","0.8","-0.05","-0.59","-1.14","-1.58","-2.37","-2.73","-3.3"
"length_rss11_7","-45.01","10.17","10.63","12.03","12.32","9.1","5.52","5.34","5.3","3.96","3.69","2.81","0.89","-0.03","0.35","0.39","0.02","-0.6","-1.93","-5.3","-8.83","-11.56","-13.71","-14.33","-14.15","-13.66"
"length_rss11_8","-28.34","6.59","6.2","5.79","4.25","3.45","2.92","1.61","0.24","-0.59","-0.97","-1.35","-1.26","-1.16","-1.51","-1.78","-1.66","-1.49","-2.44","-2.87","-2.82","-2.28","-1.75","-2.32","-3.06","-3.45"
"length_rss11_9","-41.94","-16.15","-15.18","-13.64","-10.28","-4.04","-7.04","-9.06","-6.44","-4.13","-2.43","-1.9","0.59","2.48","3.06","2.05","1.55","2.84","4.41","5.47","6.54","8.57","9.21","11.63","13.95","15.38"
"length_rss11_10","-44.19","-5.88","-5.17","-4.92","-3.95","-4.94","-3.48","-2.77","-4.33","-2.33","-1.63","-0.75","-0.53","0.96","1.16","0.67","1.49","2.58","2.11","2.63","3.54","6.01","5.24","4.78","4.4","4.91"
"length_rss11_11","-57.27","-7.71","-5.97","-4.26","-0.69","-0.15","-0.84","-0.43","-1.53","-0.95","1.39","0.72","1.56","1.41","0.1","-0.58","-0.16","1.95","1.74","1.63","2.19","1.59","-0.71","0.45","4.59","3.51"
"length_rss11_12","-59.7","2.37","3.44","4.04","1.97","1.05","1.15","0.46","1.57","3.56","3.23","1.57","0.14","-1.35","-0.79","0.01","-0.35","-1.67","-3.57","-4.37","-3.85","-1.13","0.25","-0.85","-3.87","-4.33"
"length_rss11_13","-55.41","2.17","1.27","0.24","-0.73","-0.7","2.44","4.6","4.64","4.36","4.31","3.19","1.03","-1.49","0.72","1.01","-0.46","-1.26","-2.23","-1.32","-2.06","-2.54","-2.09","-2.95","-5.82","-7.91"
"length_rss11_14","-59.36","-2.18","-0.3","-0.18","-1.2","-2.79","-1.67","0.75","1.91","-0.3","0.38","1.51","-0.1","-0.97","-0.34","-0.39","-1.13","-1.62","-1.34","-0.41","-0.51","0.43","1.17","2.35","3.29","1.91"
"length_rss11_15","-42.7","-9.02","-8.56","-8.28","-7.69","-6.79","-6.16","-5.66","-5.15","-3.83","-3.07","-2.2","-1.25","-0.57","0.91","2.61","3.81","3.54","3.39","4.83","6.29","6.8","6.76","8.32","9.1","9.05"
"length_rss11_16","-54.85","2.29","3.74","1.63","1.23","-0.15","-1.83","-3.27","-3.45","-2.24","-2.48","-1.79","0.63","0.2","-1.43","-3.58","-4.03","-2.81","0.51","2.09","2.02","2.58","1.82","2.03","2.41","1.42"
"length_rss11_17","-49.72","3.3","4.94","8.08","9.17","7.22","6.74","7.37","5.24","1.28","1.04","1.93","1.39","1.47","0.93","-1.51","-2.85","-2.15","-2.71","-4.01","-4.86","-5.86","-6.94","-8.37","-9.86","-10.99"
"length_rss11_18","-56.03","0.27","-1.82","-1.07","-1.4","-1.32","-1.36","-1.41","-1.79","-2.3","-2.36","-2.03","-2.04","-1.35","-0.85","0.29","1.26","1.78","2.21","2.13","2.23","2.89","1.82","1.72","2.47","2.17"
"length_rss11_19","-63.38","-6.92","-5.75","-5.6","-6.16","-6.49","-6.14","-5.74","-3.68","-1.01","0.99","1.96","0.78","1.17","0.8","1.03","2.57","4.12","4.95","5.24","5.38","3.76","3.01","3.68","2.43","2.23"
"length_rss11_20","-57.3","-5.97","-3.59","-4.34","-5.74","-6.83","-4.23","-3.23","-3.61","-1.13","-0.22","1.52","-0.41","0.99","2.75","1.17","-0.54","3.1","3.08","1.12","2.65","3.57","3.21","3.82","4.26","5.73"
"length_rss12_1","-55.92","0.42","0.53","-0.19","0.1","-0.12","-0.01","-0.09","-0.64","0.47","0.99","0.86","1.64","1.81","1.82","2.28","1.0","-0.77","-1.59","-0.71","0.77","1.04","-0.51","-2.47","-3.78","-3.42"
"length_rss12_2","-60.16","-6.58","-7.08","-7.29","-7.61","-6.54","-2.26","-2.37","-1.91","0.98","0.86","1.83","3.55","2.46","1.17","1.82","2.75","3.71","3.86","2.85","2.24","3.11","2.68","1.01","1.8","2.53"
"length_rss12_3","-64.69","1.04","0.24","0.38","0.73","-2.17","-4.79","-2.68","-3.33","-3.19","-0.92","-0.58","0.5","0.58","1.06","0.87","0.6","1.11","1.46","0.99","0.82","-0.26","-0.49","2.79","2.87","0.05"
"length_rss12_4","-63.2","-1.24","0.76","2.56","2.75","2.01","0.71","-0.41","-0.83","-1.6","-2.67","-1.32","-1.14","-0.76","1.61","3.28","3.43","3.27","0.74","-1.8","-2.47","-3.13","-2.57","-2.06","-1.94","-2.59"
"length_rss12_5","-59.4","2.45","-0.37","0.46","2.9","1.27","0.99","0.24","-2.82","-2.82","-0.85","0.75","-0.25","-2.59","-2.62","-0.72","0.47","0.52","1.7","2.09","0.03","-1.28","-0.34","-0.36","-1.2","0.09"
"length_rss12_6","-67.5","-2.56","-2.98","-2.96","-2.91","-4.0","-4.07","-2.55","0.48","2.6","3.94","4.64","2.5","1.5","1.58","1.73","1.82","1.84","2.15","1.42","0.76","0.3","0.56","-0.64","-1.83","-1.97"
"length_rss12_7","-56.14","3.58","2.63","1.55","1.61","1.38","1.64","2.97","3.53","4.07","3.13","2.92","3.02","2.93","1.97","0.12","-1.75","-1.98","-2.78","-3.4","-3.48","-3.88","-4.11","-4.33","-5.52","-6.21"
"length_rss12_8","-44.62","7.95","7.09","5.61","6.38","6.11","5.8","5.89","4.84","4.75","2.24","-0.3","-0.62","-0.38","-0.97","-2.09","-2.8","-3.3","-4.43","-4.8","-5.27","-6.06","-6.63","-7.39","-8.31","-9.33"
"length_rss12_9","-50.57","-13.64","-12.59","-11.8","-11.74","-9.59","-7.84","-7.14","-5.37","-3.46","-2.17","-0.03","0.19","-0.21","2.39","4.33","5.15","5.17","6.73","7.4","7.55","9.29","10.31","9.24","8.33","7.08"
"length_rss12_10","-54.37","-3.41","-1.9","-2.12","-1.69","-2.08","-3.22","-4.25","-4.81","-3.8","-1.06","1.51","2.28","4.3","1.68","-0.17","-0.97","-1.57","1.35","3.05","2.87","2.83","2.06","0.41","-0.28","0.66"
"length_rss12_11","-61.4","-1.05","-0.51","-1.3","-2.63","-3.45","-0.13","3.97","3.28","2.15","1.4","1.57","0.46","-0.88","-2.11","-3.57","-3.5","-2.16","-0.35","0.56","0.2","1.33","2.05","1.1","1.34","2.34"
"length_rss12_12","-62.76","5.03","1.39","-0.15","-0.21","0.15","0.48","1.01","2.18","2.16","2.0","0.11","-1.07","-1.47","-2.48","-2.91","-3.09","-3.87","-3.72","-1.09","-0.18","0.54","0.56","0.07","0.17","0.58"
"length_rss12_13","-58.06","3.12","3.09","4.0","2.27","2.35","1.13","-0.46","-1.34","-1.12","0.01","1.48","-0.16","-1.76","-2.48","-1.72","-0.79","-0.86","-0.86","-1.09","-0.97","-0.21","-0.41","-1.06","-1.82","-4.05"
"length_rss12_14","-61.11","0.18","1.43","1.77","1.12","-0.3","-0.54","-0.49","-0.02","-1.24","-2.38","-1.72","-0.76","1.08","1.82","1.71","1.77","1.91","1.15","1.14","0.82","-0.72","-2.03","-3.04","-1.7","-1.06"
"length_rss12_15","-38.27","1.32","0.19","-0.54","-0.14","0.19","0.64","0.68","0.76","1.38","1.06","0.38","0.78","-0.22","-1.06","-3.66","-5.22","-4.71","-3.33","-2.38","-1.57","-0.02","2.02","3.12","3.45","5.12"
"length_rss12_16","-52.9","-1.31","-1.31","-1.2","-2.01","-4.04","-2.72","-1.33","-0.97","0.92","0.07","-0.43","-0.89","0.51","-0.26","-0.05","-1.94","-1.14","2.3","-1.07","1.57","4.91","1.58","0.79","2.19","1.88"
"length_rss12_17","-45.41","10.94","11.37","9.26","5.82","6.05","6.54","4.82","4.31","4.55","4.24","4.36","3.17","1.21","0.21","-2.53","-4.13","-5.01","-7.03","-8.32","-9.97","-9.95","-9.78","-10.04","-8.31","-4.73"
"length_rss12_18","-54.5","-5.38","-4.52","-5.31","-3.99","-4.1","-0.67","0.8","1.33","0.92","1.18","0.43","0.71","0.56","0.38","-0.46","0.35","1.04","-0.06","0.69","0.6","1.34","2.32","3.09","3.48","3.44"
"length_rss12_19","-68.22","-4.68","-4.34","-3.45","-2.64","-2.27","-2.38","-2.34","-2.02","-1.41","-1.17","-0.6","-0.18","-0.56","-0.77","-0.54","-0.64","0.0","1.21","2.31","2.7","3.19","3.85","4.56","4.22","4.55"
"length_rss12_20","-51.7","-6.21","-4.69","-4.2","-4.84","-4.13","-4.29","-5.84","-5.15","-2.53","-0.8","0.7","-0.47","-0.84","0.56","0.17","1.31","2.55","3.41","3.76","5.9","4.36","3.77","4.37","5.38","4.07"
"length_rss14_1","-67.08","0.52","0.34","-0.98","-0.82","-0.19","0.58","1.3","0.79","-0.82","-1.68","-0.52","1.24","0.59","-0.12","1.12","2.07","0.87","0.3","0.79","-0.56","-1.71","-2.08","-1.78","-0.36","-0.6"
"length_rss14_2","-66.03","-1.02","-1.26","-2.42","-3.58","-1.17","-1.0","-2.08","-0.44","-0.92","-0.37","-1.99","-4.59","-3.69","-2.94","-1.23","2.08","1.76","0.64","1.4","2.48","3.16","3.4","3.34","4.51","6.44"
"length_rss14_3","-71.03","0.05","-1.13","-2.08","-0.89","-0.44","-0.99","0.74","1.45","1.76","1.58","-0.23","-0.17","-1.35","-2.03","-1.63","-0.76","1.29","0.74","-0.88","-0.03","1.13","1.83","1.92","0.58","-0.82"
"length_rss14_4","-72.56","-1.09","1.24","2.75","1.78","-0.31","-1.16","-1.37","-1.35","-1.96","-0.93","0.23","0.68","1.63","1.18","-0.25","0.13","-0.33","-1.58","-1.21","-0.68","-0.36","0.36","0.85","0.97","0.97"
"length_rss14_5","-69.18","2.3","2.69","2.54","2.79","2.85","1.44","0.35","-0.62","-0.63","-0.01","-0.48","-0.99","-1.07","-1.97","-2.79","-3.27","-2.3","-0.7","-0.86","0.13","-0.37","0.08","0.36","-0.31","-2.22"
"length_rss14_6","-70.53","-0.89","-0.59","-0.18","0.22","-0.78","-0.45","0.8","-0.29","-1.08","-2.71","-3.08","-1.33","-0.5","-0.23","0.31","1.09","1.27","1.36","1.68","0.94","-0.09","0.28","0.97","1.45","0.17"
"length_rss14_7","-66.12","-3.79","-4.92","-4.46","-4.23","-2.07","-0.13","0.55","0.48","0.5","0.82","0.92","1.12","0.91","-0.24","0.29","1.31","1.72","2.04","1.52","0.8","0.21","1.33","1.64","1.18","2.11"
"length_rss14_8","-67.6","1.32","4.09","4.77","1.68","-1.77","-1.77","-1.41","-1.08","0.38","0.6","0.29","0.9","1.74","0.46","0.13","-0.09","0.37","-0.52","-0.59","-2.66","-3.95","-1.7","0.06","-1.38","-1.86"
"length_rss14_9","-65.88","-2.53","-0.06","2.63","-1.78","-1.95","-1.63","-3.8","-2.37","-0.18","-0.21","0.18","-0.3","-1.19","1.23","4.11","3.89","0.64","0.77","2.49","1.55","0.82","1.0","-0.37","-0.71","-1.92"
"length_rss14_10","-72.46","-1.96","-2.08","-0.05","0.77","1.58","3.1","3.31","2.42","1.83","1.34","1.33","1.51","0.78","0.4","0.85","-0.08","-0.47","-0.23","-1.04","-2.28","-2.5","-1.96","-2.19","-2.37","-2.66"
"length_rss14_11","-77.15","-6.01","-5.03","-5.96","-5.34","-4.16","-2.98","-2.02","-0.44","0.91","0.37","-1.24","-0.08","-1.06","-1.54","1.31","2.7","1.69","1.34","2.34","3.24","3.43","3.48","3.84","4.69","4.8"
"length_rss14_12","-81.19","1.33","3.07","3.3","2.34","1.5","1.05","0.99","0.88","-0.03","-0.47","-0.8","-1.21","-2.06","-2.49","-2.37","-2.56","-1.78","-2.09","-1.45","-0.8","0.86","1.28","0.6","1.01","1.01"
"length_rss14_13","-79.66","0.86","2.55","3.0","3.36","3.5","2.75","3.01","2.86","1.47","0.59","0.21","-0.46","-0.97","-1.15","-0.85","-1.18","-1.93","-0.87","0.37","0.32","-0.86","-0.56","-2.63","-5.75","-8.26"
"length_rss14_14","-80.02","-0.15","2.63","3.47","1.56","1.06","1.25","1.62","0.9","0.88","1.25","0.59","-1.63","-3.73","-4.34","-4.14","-2.98","-2.31","-3.01","-2.8","-2.4","-0.79","0.91","2.78","3.7","3.72"
"length_rss14_15","-57.44","2.58","2.76","3.87","3.7","4.09","5.42","4.9","4.38","2.56","-0.34","-0.91","-0.22","2.42","4.09","3.1","3.42","2.9","1.13","0.33","-1.92","-4.79","-8.51","-11.03","-12.44","-12.97"
"length_rss14_16","-55.44","-12.45","-13.26","-10.93","-9.43","-11.06","-9.58","-6.43","-2.16","-1.81","-1.55","-1.95","-1.2","2.01","3.94","5.96","5.86","4.46","6.29","6.38","7.37","5.63","5.87","7.86","7.26","7.46"
"length_rss14_17","-55.44","10.62","8.55","9.27","9.71","9.12","8.77","6.74","4.44","2.04","0.3","-3.09","-7.06","-9.42","-9.95","-8.48","-6.66","-6.91","-7.54","-7.81","-5.24","-1.5","-0.07","0.97","-0.64","0.34"
"length_rss14_18","-73.69","-2.46","-2.8","-1.49","-0.73","-0.04","-0.04","1.21","1.1","0.46","0.07","0.08","-1.15","-0.72","-1.3","-1.41","-0.3","0.09","0.52","-0.11","-0.33","0.65","1.71","3.13","2.39","1.29"
