"ap_position","mean_total","r1","r2","r3","r4","r5","r6","r7","r8","r9","r10","r11","r12","r13","r14","r15","r16","r17","r18","r19","r20","r21","r22","r23","r24","r25"
"length_rss29_8","-58.52","2.56","3.09","3.18","3.31","1.53","1.4","1.81","-0.14","-5.32","-8.05","-6.27","-2.98","-0.35","-0.64","-0.44","2.09","2.7","1.87","0.43","0.74","-1.27","-0.74","0.57","-0.22","0.28"
"length_rss29_9","-58.27","0.46","0.09","0.47","0.51","1.23","0.82","-0.28","0.82","1.58","0.84","-0.96","-0.35","-0.26","0.11","1.92","3.53","1.87","0.08","-1.5","-4.15","-4.08","-4.05","-3.36","-0.4","1.22"
"length_rss29_10","-72.9","-6.47","-5.98","-6.35","-4.36","-2.36","-1.93","-2.03","-1.29","-0.93","-0.4","-0.42","-0.26","0.92","0.97","1.43","2.38","2.33","2.23","1.77","1.92","2.2","2.2","3.21","4.57","3.97"
"length_rss29_11","-74.35","1.08","1.63","2.29","0.85","0.98","1.43","0.69","-1.95","-2.58","-1.56","0.36","1.69","0.71","-0.4","0.16","1.22","2.81","1.01","-0.6","-1.79","-0.84","-0.49","-1.86","-2.36","-2.61"
"length_rss29_12","-71.07","1.47","1.66","0.14","-1.28","-1.71","-0.97","-0.48","-0.6","-0.3","-1.05","-0.22","0.85","1.55","2.28","2.71","3.1","3.12","1.63","0.89","-0.63","-1.19","-1.64","-2.89","-4.36","-5.1"
"length_rss29_13","-64.52","-0.16","-0.65","-1.07","-1.35","-1.21","-1.04","-0.56","-0.24","-0.83","-1.12","-1.09","-0.65","-0.5","-0.51","-0.74","-0.24","1.67","4.4","4.56","2.86","1.99","-0.34","-1.28","-1.71","-1.34"
"length_rss29_14","-68.51","4.99","3.57","1.26","1.17","0.83","-0.62","-1.28","-0.71","-0.01","1.55","1.65","0.38","-0.13","-0.61","-1.16","-2.07","-3.52","-4.45","-4.48","-3.58","-1.72","1.07","2.6","1.55","0.53"
"length_rss29_15","-61.84","-4.89","-5.2","-5.63","-3.7","-2.13","-1.14","-0.8","-0.85","-1.25","-2.33","-2.49","-1.41","-1.76","-0.96","-0.12","2.22","2.59","2.81","2.0","3.45","2.89","2.91","3.94","4.97","4.94"
"length_rss29_16","-70.97","-2.3","-3.59","-3.3","-2.91","-2.37","-2.31","-3.47","-5.16","-5.26","-4.15","-2.73","-1.5","-0.25","-0.89","-0.67","1.63","2.9","5.53","3.55","3.24","3.25","4.02","5.31","5.02","4.62"
"length_rss29_17","-69.64","2.72","2.63","3.14","3.61","2.78","3.58","4.43","4.21","3.07","3.08","3.09","1.31","-0.89","-1.89","-2.54","-2.42","-2.31","-2.91","-2.91","-2.09","-3.31","-4.39","-3.92","-5.18","-7.02"
"length_rss29_18","-80.87","-1.1","-0.32","1.51","2.06","2.44","1.91","1.73","1.02","0.18","0.29","0.1","0.83","0.73","0.58","0.08","0.21","0.12","0.15","-0.1","-0.74","-2.21","-2.11","-2.2","-2.07","-2.45"
"length_rss29_19","-75.49","-4.39","-4.2","-3.48","-2.95","-3.57","-4.22","-3.18","-1.88","-1.17","-0.65","-1.43","-2.15","-1.9","-1.27","1.87","3.69","3.53","3.83","3.43","2.42","1.89","2.15","2.87","4.35","5.37"
"length_rss29_20","-75.13","-2.44","-3.65","-5.15","-2.89","-2.42","-0.71","0.46","0.15","0.3","0.04","0.36","1.18","0.87","0.88","1.35","1.46","2.35","2.42","0.32","0.21","0.31","-0.67","0.12","2.14","0.68"
"length_rss31_1","-71.33","0.67","0.16","-0.19","0.4","1.68","0.75","-2.31","-3.21","-1.9","-1.19","-1.35","-1.21","-1.26","-0.17","-0.03","-0.66","-0.53","0.87","0.67","0.05","-0.95","0.25","1.96","2.56","3.16"
"length_rss31_2","-75.45","-1.37","-1.75","-2.37","-2.04","-2.04","-2.96","-2.84","-2.19","-0.86","0.41","1.14","1.31","-0.4","-1.38","-0.73","1.41","1.89","1.88","1.8","1.17","0.33","0.49","1.69","2.07","2.61"
"length_rss31_3","-79.23","-3.24","-3.97","-1.38","1.72","0.95","-1.73","-4.56","-5.51","-6.07","-4.83","-2.17","-0.15","1.03","2.01","1.67","1.91","2.96","3.85","3.01","2.17","2.52","2.71","1.92","1.83","3.25"
"length_rss31_4","-78.03","2.7","2.92","4.05","3.1","1.76","2.62","4.27","3.75","2.29","0.86","-0.35","-2.31","-2.11","-1.86","-3.1","-3.7","-3.09","-2.01","-1.03","-1.7","-2.83","-1.7","-1.07","-0.62","-1.84"
"length_rss31_5","-73.75","0.98","-1.85","-1.07","1.85","1.19","-0.47","-1.08","-2.62","-2.64","-2.41","-1.98","-1.15","0.72","1.23","2.05","1.93","0.86","0.97","0.84","-0.08","0.03","0.38","0.31","0.14","-1.11"
"length_rss31_6","-81.2","-3.14","-1.66","0.22","-0.96","-3.54","-4.15","-3.36","-1.44","0.49","1.21","2.13","2.4","1.79","0.87","1.69","3.44","2.87","2.01","2.26","2.07","1.22","-0.72","-2.99","-2.55","-1.18"
"length_rss31_7","-74.98","3.35","2.71","2.89","3.07","3.73","4.13","3.9","3.21","2.94","4.02","3.89","2.9","2.52","1.44","-0.21","-2.03","-3.9","-5.76","-5.78","-6.01","-6.78","-6.02","-4.41","-3.87","-4.07"
"length_rss31_8","-68.65","-0.15","0.29","-2.15","-3.64","-3.37","-1.56","-0.09","1.18","0.36","-0.48","-1.06","-0.64","0.39","1.5","1.4","1.2","1.61","1.27","0.74","0.89","-0.48","0.17","0.88","0.07","-0.52"
"length_rss31_9","-71.19","-7.57","-5.69","-5.08","-3.0","-1.58","-0.48","-1.88","-4.02","-3.73","-4.59","-4.34","-5.75","-7.68","-3.69","-1.72","-0.92","1.69","4.09","5.8","6.76","7.42","7.94","8.64","8.86","8.62"
"length_rss31_10","-70.29","-2.65","-2.34","-3.01","-3.92","-4.41","-3.53","-1.55","0.86","2.44","3.03","1.99","1.19","0.5","-0.06","-0.11","0.3","1.7","1.56","0.73","-0.19","0.31","0.97","0.95","1.46","1.29"
"length_rss31_11","-75.37","-3.56","-1.27","-3.94","-4.03","-2.25","0.13","0.39","0.4","-0.06","0.58","-0.16","-0.75","-0.38","0.63","1.38","1.78","0.88","0.8","1.02","2.15","4.17","2.61","0.26","-0.72","-0.62"
"length_rss31_12","-73.59","-0.66","-0.79","0.88","1.84","1.45","1.62","1.15","-0.0","-1.0","-0.96","-1.18","-1.31","-1.01","-0.93","-1.87","-1.52","-1.41","-0.73","-0.59","-0.1","0.84","0.73","0.45","-0.14","0.43"
"length_rss31_13","-72.01","3.61","3.45","2.26","1.52","1.73","1.43","0.93","0.96","0.75","0.48","-0.44","-1.05","-1.24","-1.12","-1.88","-2.16","-1.8","-1.48","-0.64","-0.15","-0.16","-0.04","0.06","-1.72","-3.59"
